DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.languageEngine.java.passes.config.ResPropertyLinkerPass, Started, 17.72, 337.16, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.languageEngine.java.passes.config.ResPropertyLinkerPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.HTMLParserPass, Started, 32.48, 342.40, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.HTMLParserPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.SQLParser, Started, 15.11, 344.53, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.SQLParser, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.SQLPropertyPass, Started, 7.87, 347.64, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.SQLPropertyPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.AndroidXmlParserPass, Started, 21.01, 348.69, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.AndroidXmlParserPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, <not set>, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Tagging ..., <not set>, Started, 18.99, 351.84, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.DEDTagger, Started, 15.68, 500.73, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.DEDTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.LiteralTagger, Started, 22.62, 501.78, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.LiteralTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.SqlQueryTagger, Started, 21.80, 528.00, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.SqlQueryTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.SqlDSDTagger, Started, 27.24, 529.05, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.tagger.source.SqlDSDTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., <not set>, <not set>, 16.23, 584.62, 4294.97
Wed Sep 10 09:34:42 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.DirectNodeSourceTagger, Started, 12.32, 590.91, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.DirectNodeSourceTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.FirstLevelDerivedSourceTagger, Started, 76.77, 484.07, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.FirstLevelDerivedSourceTagger, PrivadoParallelCpgPass, 62.37, 911.22, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.FirstLevelDerivedSourceTagger, Done, 62.37, 911.22, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.FirstLevelDerivedSourceExternalClassTagger, Started, 37.23, 394.45, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.FirstLevelDerivedSourceExternalClassTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.OCDDerivedSourceTagger, Started, 12.11, 633.52, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.OCDDerivedSourceTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.ExtendedDerivedSourceTagger, Started, 66.41, 280.38, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.ExtendedDerivedSourceTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:43 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.InSensitiveCallTagger, Started, 14.72, 355.88, 4294.97
Wed Sep 10 09:34:44 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.source.InSensitiveCallTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:44 IST 2025, Tagging ..., ai.privado.tagger.source.AndroidXmlPermissionTagger, Started, 64.84, 872.48, 4294.97
Wed Sep 10 09:34:44 IST 2025, Tagging ..., ai.privado.tagger.source.AndroidXmlPermissionTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:44 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.config.JavaDBConfigTagger, Started, 21.48, 873.53, 4294.97
Wed Sep 10 09:34:44 IST 2025, Tagging ..., ai.privado.languageEngine.java.tagger.config.JavaDBConfigTagger, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:44 IST 2025, Tagging ..., ai.privado.tagger.sink.RegularSinkTagger, Started, 16.18, 874.58, 4294.97
